Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Hazza,Male,3/09/2019,10,39.6,Spec,19/02/2020,Male,258,764,-27.4627,153.0187,0.040185471,64,647,0.098918083
Hippo,Male,6/12/2019,10,39.7,Spec,19/02/2020,Male,NA,866,-27.46298333,153.0190667,0.083636364,38,275,0.138181818
Joker,Male,19/08/2019,10,17.1,Spec,NA,NA,NA,NA,-27.46285,153.01905,0.042692939,54,609,0.088669951
Kaa,Female,16/11/2019,10,42.8,BBabs,NA,NA,NA,NA,-27.46185,153.0174333,0.048951049,20,286,0.06993007
Lili,Female,6/12/2019,10,40.6,BBabs,NA,NA,NA,NA,-27.46191667,153.0174833,0.045016077,20,311,0.064308682
Little,Female,3/09/2019,10,14.9,Rforest,NA,NA,NA,NA,-27.46223333,153.0171667,0.024242424,13,495,0.026262626
Llum,Female,8/11/2019,10,41.4,Spec,NA,NA,NA,NA,-27.46288333,153.0189667,0.061093248,38,311,0.122186495
Marian,Female,12/12/2019,10,39.8,BBabs,NA,NA,NA,NA,-27.46206667,153.01785,0.038560411,15,389,0.038560411
Mystery,Female,18/12/2019,10,42.4,Rforest,17/03/2020,Female,194,216,-27.46213333,153.01735,0.071005917,23,338,0.068047337
Nikki,Female,16/02/2020,10,39.9,Spec,NA,NA,NA,NA,-27.46258333,153.0188167,0.046875,24,384,0.0625
Nikki,Female,4/10/2019,10,40.3,Spec,NA,NA,NA,NA,-27.46268333,153.0187167,0.046875,24,384,0.0625
Pandanus,Female,19/08/2019,10,15.8,Lake,NA,NA,NA,NA,-27.46268333,153.0181,0.058577406,14,239,0.058577406
Pear,Female,23/09/2019,10,39.8,Spec,NA,NA,NA,NA,-27.4627,153.0187333,0.040677966,20,295,0.06779661
Pesto,Male,17/12/2019,10,40.9,Rforest,NA,NA,NA,NA,-27.46215,153.0166667,0.021594684,20,602,0.033222591
Pikachu,Male,26/11/2019,10,18.5,Spec,NA,NA,NA,NA,-27.46245,153.0189167,0.061185468,41,523,0.078393881
Reptincel,Female,22/11/2019,10,39.7,Spec,NA,NA,NA,NA,-27.46318333,153.0193833,0.050890585,56,786,0.071246819
Reptincel,Female,16/11/2019,10,40,Spec,NA,NA,NA,NA,-27.46305,153.0193167,0.050890585,56,786,0.071246819
Rosabel,Female,29/09/2019,10,40.9,Spec,NA,NA,NA,NA,-27.46266667,153.0189833,0.079439252,47,428,0.109813084
Saturn,Female,25/10/2019,10,39.7,BBabs,NA,NA,NA,NA,-27.46195,153.0175833,0.046594982,14,279,0.050179211
Scoobydoo,Male,17/11/2019,10,39.9,BBabs,NA,NA,NA,NA,-27.46186667,153.0173667,0.035490605,22,479,0.045929019
Trefle,Female,16/11/2019,10,41,BBabs,NA,NA,NA,NA,-27.46191667,153.0177,0.029982363,28,567,0.049382716
Volt,Male,4/10/2019,10,41.8,Spec,5/03/2020,Male,246,560,-27.46318333,153.0192167,0.054101222,32,573,0.055846422
Alvy,Male,4/11/2020,11,0,Spec,28/09/2020,Male,256,760,-27.46318333,153.01925,0.028103044,37,1281,0.028883685
Alvy,Male,4/11/2020,11,0,Spec,15/02/2021,Male,NA,NA,-27.46318333,153.01925,0.028103044,37,1281,0.028883685
Azure,Female,15/10/2020,11,14.8,Rforest,2/10/2020,Female,154,250,-27.462,153.0173167,0.01734104,8,346,0.023121387
Azure,Female,15/10/2020,11,14.8,Rforest,19/02/2021,Female,NA,NA,-27.462,153.0173167,0.01734104,8,346,0.023121387
Barret,Male,20/10/2020,11,17.6,Lake,17/02/2021,Male,NA,NA,-27.46235,153.0176,0.026392962,12,341,0.035190616
Batsy,Male,15/10/2020,11,41,Spec,6/10/2020,Male,244,757,-27.46265,153.0187,0.031055901,50,966,0.051759834
Batsy,Male,15/10/2020,11,41,Spec,15/02/2021,Male,NA,NA,-27.46265,153.0187,0.031055901,50,966,0.051759834
Bruixa,Female,13/10/2020,11,45.8,Lake,7/10/2020,Female,175,325,-27.46248333,153.0180167,0.054474708,14,257,0.054474708
Chenille,Male,15/10/2020,11,39.8,Arid,1/10/2020,Male,264,806,-27.46226667,153.018,0.018207283,23,714,0.032212885
Chenille,Male,15/10/2020,11,39.8,Arid,16/02/2021,Male,NA,NA,-27.46226667,153.018,0.018207283,23,714,0.032212885
Cheyenne,Female,20/10/2020,11,42,Spec,28/09/2020,Female,191,284,-27.46275,153.01895,0.033519553,38,537,0.070763501
Cheyenne,Female,20/10/2020,11,42,Spec,15/02/2021,Female,NA,NA,-27.46275,153.01895,0.033519553,38,537,0.070763501
Chihiro,Female,13/10/2020,11,18,Spec,30/09/2020,Female,189,312,-27.46303333,153.0194333,0.040069686,28,574,0.048780488
Chihiro,Female,25/09/2020,11,40,Spec,30/09/2020,Female,189,312,-27.46293333,153.0192167,0.040069686,28,574,0.048780488
Chihiro,Female,13/10/2020,11,18,Spec,15/02/2021,Female,NA,NA,-27.46303333,153.0194333,0.040069686,28,574,0.048780488
Chihiro,Female,25/09/2020,11,40,Spec,15/02/2021,Female,NA,NA,-27.46293333,153.0192167,0.040069686,28,574,0.048780488
CocoPops,Male,26/05/2021,11,10.5,Spec,7/10/2020,Male,167,213,-27.4627,153.0193833,0.035950804,35,1057,0.033112583
